source,target,type,raw
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_INDICACION.KEY-NEXT-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_FEC_SERVICIO.WHEN-BUTTON-PRESSED,EXT:FIND_WINDOW,EXTERNAL_CALL,FIND_WINDOW
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_INGRESO.KEY-LISTVAL,EXT:FIND_WINDOW,EXTERNAL_CALL,FIND_WINDOW
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_INGRESO.WHEN-VALIDATE-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_INGRESO.WHEN-VALIDATE-ITEM,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,P_IMPRIME_MENSAJE
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_EGRESO.KEY-LISTVAL,EXT:FIND_WINDOW,EXTERNAL_CALL,FIND_WINDOW
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_EGRESO.WHEN-VALIDATE-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_EGRESO.WHEN-VALIDATE-ITEM,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,P_IMPRIME_MENSAJE
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_APROBACION.WHEN-BUTTON-PRESSED,EXT:F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_APROBACION.WHEN-BUTTON-PRESSED,EXT:IN,EXTERNAL_CALL,IN
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_APROBACION.WHEN-BUTTON-PRESSED,EXT:NUMBER,EXTERNAL_CALL,NUMBER
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_APROBACION.WHEN-BUTTON-PRESSED,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,p_imprime_mensaje
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_APROBACION.WHEN-BUTTON-PRESSED,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.PB_ACEPTAR.WHEN-BUTTON-PRESSED,EXT:HIDE_WINDOW,EXTERNAL_CALL,HIDE_WINDOW
